,Jugador,Regates,Pases Acertados,Equipo
0,Luka Modrić,20.33055555555556,652.1416666666667,RealM
1,Renato Tapia,12.8625,538.3874999999999,Celta
2,Mikel Merino,10.775,492.95625,RealS
3,Denis Suárez,8.818055555555556,309.89166666666665,Celta
4,Nolito,8.708333333333334,217.7083333333333,Celta
5,Guido Rodríguez,7.826388888888889,457.84375,Betis
6,Frenkie de Jong,7.136111111111111,267.60416666666663,Barcelona
7,Edu Expósito,6.58125,255.9375,Eibar
8,Pedro Mosquera,6.557638888888889,662.3215277777778,Huesca
9,Gonzalo Melero,6.4375,305.78125,Levante
10,David Silva,6.383333333333334,219.6930555555556,RealS
11,Manu Trigueros,6.248611111111111,273.8027777777777,Villarreal
12,William Carvalho,5.675,385.9,Betis
13,Daniel Parejo,5.394444444444445,530.0041666666667,Villarreal
14,Iván Marcone,5.261111111111111,409.70902777777775,Elche
15,Pedri,4.255555555555556,218.09722222222223,Barcelona
16,Carlos Soler,4.166666666666667,272.91666666666663,Valencia
17,Toni Kroos,4.161111111111111,449.4,RealM
18,Sergio Busquets,3.654166666666667,478.0868055555555,Barcelona
19,Ivan Rakitić,2.795138888888889,281.75,Sevilla
20,Koke,2.2666666666666666,337.1666666666667,Atlético
21,Joan Jordán,2.2583333333333333,333.66875,Sevilla
22,Néstor Araujo,2.052083333333333,346.11805555555554,Celta
23,Mickael Malsa,1.6770833333333333,226.40625,Levante
24,Ander Guevara,1.0930555555555554,238.2861111111111,RealS
