,Player,Team,Disparos bloqueados,Intercepciones de balón,Recuperaciones,Despejes,Goles encajados por partido
0,Rubén Duarte,Alavés,45.0,1.2,9.6,3.7333333333333334,14.088888888888889
15,Víctor Laguardia,Alavés,20.0,0.8571428571428571,9.071428571428571,4.714285714285714,12.302083333333332
30,Marc Bartra,Betis,21.0,1.3333333333333333,10.416666666666666,4.833333333333333,14.777777777777779
42,Domingos Duarte,Granada,17.0,0.7272727272727273,10.545454545454545,3.909090909090909,13.444444444444446
55,Florian Lejeune,Alavés,20.0,1.1538461538461537,10.846153846153847,5.769230769230769,11.71875
68,Ximo Navarro,Alavés,24.0,1.4615384615384615,9.461538461538462,3.230769230769231,11.09375
82,Djené,Getafe,14.0,0.75,14.666666666666666,5.083333333333333,8.25
94,Raúl Albiol,Villarreal,17.0,0.5625,9.125,4.625,16.76388888888889
110,Pau Torres,Villarreal,30.0,0.625,10.25,3.9375,17.0
126,Iñigo Martínez,Athletic,16.0,0.6,10.6,4.866666666666666,15.9375
141,Gonzalo Verdú,Elche,28.0,0.9285714285714286,7.214285714285714,5.0,14.875
155,Clément Lenglet,Barcelona,16.0,1.0,10.454545454545455,3.272727272727273,6.966666666666667
168,Rúben Vezo,Levante,21.0,1.0,9.333333333333334,4.666666666666667,9.659722222222223
181,Gabriel Paulista,Valencia,20.0,1.5454545454545454,8.363636363636363,6.090909090909091,12.375
193,Raphaël Varane,RealM,21.0,1.4,8.466666666666667,3.8,13.125
208,Jorge Pulido,Huesca,19.0,0.5454545454545454,11.272727272727273,3.6363636363636362,13.0625
219,Dimitris Siovas,Huesca,26.0,0.8666666666666667,10.133333333333333,5.2,22.5
234,Néstor Araujo,Celta,16.0,1.1666666666666667,10.333333333333334,5.75,11.380555555555555
248,Jeison Murillo,Celta,18.0,0.7142857142857143,10.285714285714286,3.7857142857142856,19.081944444444446
262,David García,Osasuna,20.0,1.0,15.071428571428571,7.071428571428571,17.5
276,Yeray Álvarez,Athletic,7.0,1.7272727272727273,10.818181818181818,5.2727272727272725,10.3125
287,Cala,Cádiz,12.0,0.6666666666666666,9.75,5.0,9.34375
299,Jules Koundé,Sevilla,17.0,0.9090909090909091,9.272727272727273,3.909090909090909,4.8125
310,Diego Carlos,Sevilla,18.0,0.5,8.642857142857142,4.285714285714286,8.67361111111111
324,Bruno González,Valladolid,17.0,1.0769230769230769,8.923076923076923,6.615384615384615,13.8125
337,Mouctar Diakhaby,Valencia,30.0,0.09090909090909091,6.909090909090909,5.181818181818182,11.7875
348,Sergio Ramos,RealM,17.0,1.1538461538461537,10.461538461538462,3.230769230769231,9.375
361,Robin Le Normand,RealS,17.0,0.8461538461538461,12.538461538461538,4.6923076923076925,7.24375
375,Stefan Savić,Atlético,14.0,0.8461538461538461,10.615384615384615,3.769230769230769,4.0625
