Player,Goles encajados x(-1),Paradas,Porcentaje paradas/tiros,Puntuación Final
Jan Oblak,0.01990951992682098,0.0672543521283476,0.07644343288443517,0.12378826508596179
Yassine Bounou,0.035475144596881024,0.06532360517729455,0.07134979846925557,0.10119825904966909
Édgar Badía,0.06769236775119133,0.09026241996172966,0.06747814707574862,0.09004819928628696
Fernando Pacheco,0.0627149877694861,0.07278513766521828,0.06198109981702887,0.07205124971276104
Thibaut Courtois,0.05226248980790508,0.05575031821165656,0.06744879279752099,0.07093662120127248
Álex Remiro,0.03935058056124618,0.04081069045559173,0.06869512652726881,0.07015523642161436
Marko Dmitrović,0.05574665579509875,0.06349341796327553,0.062072067502161356,0.06981882967033815
Jaume Doménech,0.08361998369264813,0.08672271721813242,0.05939654735120612,0.06249928087669042
Jeremías Ledesma,0.06432306437896008,0.06480378869047258,0.05941136561665757,0.059892089928170064
David Soria,0.06503776509428189,0.05162066501079311,0.06742310780407182,0.054006007720583046
Sergio Herrera,0.08147588154668278,0.07433375761554208,0.06028838740152454,0.05314626347038384
Sergio Asenjo,0.05923082178229242,0.04955583841036138,0.05760858641832777,0.04793360304639673
Aitor Fernández,0.07718767725475212,0.06861577626050037,0.056057498202814006,0.04748559720856227
Rui Silva,0.08361998369264813,0.06194479801295173,0.06184579494082342,0.04017060926112702
Unai Simón,0.06619915375667977,0.03716687880777104,0.04807374607236359,0.019041471123454848
Andrés Fernández,0.08615392259242534,0.04955583841036138,0.054426501118791694,0.017828416936727737
