,Jugador,Equipo,Recuperaciones,Porcentaje de pases acertados,Asistencias,Goles,Regates Acertados,Puntuación Final
128,Luka Modrić,RealM,0.03115791259774478,0.04174727968936254,1.0,2.0,0.11848341232227488,0.26313588429874474
104,Carlos Soler,Valencia,0.043534869973528775,0.036850098759514165,4.0,5.0,0.02843601895734597,0.23567108644990306
143,Mikel Merino,RealS,0.04488545669878016,0.036230747591896456,2.0,1.0,0.05687203791469194,0.20421898979726502
303,David Silva,RealS,0.036877722639842854,0.040219434376935495,2.0,1.0,0.05687203791469194,0.20418862930840578
314,Frenkie de Jong,Barcelona,0.04003867029468653,0.042214833536205955,1.0,0.0,0.06635071090047394,0.2008190482675724
227,Renato Tapia,Celta,0.054526347046053365,0.03875884706243644,0.0,0.0,0.06635071090047394,0.19839475207140017
201,Denis Suárez,Celta,0.03275891205928898,0.037329512843234984,2.0,0.0,0.06635071090047394,0.1937686486462329
14,Guido Rodríguez,Betis,0.055203692972091295,0.040566329166529,0.0,1.0,0.04739336492890995,0.19372971623405924
281,Daniel Parejo,Villarreal,0.05000044472207265,0.04176085383330315,1.0,1.0,0.037914691943127965,0.19143684433180694
213,Nolito,Celta,0.02844852889359306,0.03422877019363939,1.0,3.0,0.052132701421800945,0.18903877070267278
28,Manu Trigueros,Villarreal,0.03362098869242816,0.040581754330097884,1.0,1.0,0.052132701421800945,0.18691719877442486
90,Gonzalo Melero,Levante,0.03060372047644102,0.042780148641934815,0.0,2.0,0.04265402843601896,0.1788180461963296
243,Edu Expósito,Eibar,0.05334099167548699,0.036855497566763276,1.0,0.0,0.037914691943127965,0.1749666787521415
172,Pedro Mosquera,Huesca,0.05626486825621739,0.04070931014937015,0.0,0.0,0.03317535545023697,0.17085884400519466
0,William Carvalho,Betis,0.035086518968764774,0.04053035768508637,0.0,2.0,0.02843601895734597,0.16458325329628348
40,Iván Marcone,Elche,0.04267279334038959,0.04154058249753953,0.0,0.0,0.037914691943127965,0.16366865027859662
116,Toni Kroos,RealM,0.023180282802186942,0.04206174735732012,1.0,1.0,0.03317535545023697,0.16047913296706415
65,Pedri,Barcelona,0.0222846809666479,0.04056361433774088,1.0,1.0,0.03317535545023697,0.15658726509236662
269,Ivan Rakitić,Sevilla,0.024655391707780652,0.040981697971111834,1.0,1.0,0.023696682464454975,0.15031547011445928
51,Sergio Busquets,Barcelona,0.04385814871095597,0.04296838705468706,0.0,0.0,0.018957345971563982,0.14875226879189407
79,Mickael Malsa,Levante,0.0474142148226551,0.03985572273123778,0.0,0.0,0.014218009478672985,0.14134366976380366
292,Koke,Atlético,0.036350898030702246,0.04173445966452973,0.0,0.0,0.018957345971563982,0.1387771633313257
159,Ander Guevara,RealS,0.04788835697088165,0.039024306414875094,0.0,0.0,0.009478672985781991,0.13541564278641383
187,Néstor Araujo,Celta,0.04899468865007694,0.037928420527402744,0.0,0.0,0.009478672985781991,0.13433020269066442
257,Joan Jordán,Sevilla,0.036350898030702246,0.04197728601724519,0.0,0.0,0.009478672985781991,0.12978414305097463
